filepath,SAC,WAC,STC,WTC,SCC,WCC,Correct
Mutation_Detected\Rules\Mutated\SAC\SAC_irrigation_2_1_9.txt,1,0,0,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_irrigation_2_4_1.txt,1,0,0,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_irrigation_2_4_2.txt,1,1,0,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_irrigation_2_4_3.txt,1,0,0,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_irrigation_2_4_4.txt,1,1,0,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_irrigation_2_4_5.txt,1,0,0,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_irrigation_2_4_6.txt,1,1,0,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_irrigation_2_6_1.txt,1,0,0,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_irrigation_2_6_2.txt,1,0,0,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_irrigation_2_6_3.txt,1,0,0,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_irrigation_4_0_1.txt,1,0,0,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_irrigation_4_0_2.txt,1,0,0,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_irrigation_4_1_1.txt,1,0,0,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_irrigation_4_1_2.txt,1,0,0,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_irrigation_4_1_3.txt,1,0,0,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_irrigation_4_1_4.txt,1,0,0,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_irrigation_4_1_5.txt,1,0,0,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_irrigation_4_1_6.txt,1,0,0,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_irrigation_4_2_1.txt,1,1,0,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_irrigation_4_2_2.txt,1,1,0,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_irrigation_4_2_3.txt,1,1,0,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_irrigation_4_2_4.txt,1,1,0,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_irrigation_4_2_5.txt,1,1,0,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_irrigation_4_2_6.txt,1,1,0,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_irrigation_4_6_1.txt,1,0,0,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_irrigation_4_6_2.txt,1,0,0,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_irrigation_6_0_1.txt,1,0,0,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_irrigation_6_1_1.txt,1,0,0,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_irrigation_6_1_2.txt,1,0,0,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_irrigation_6_1_3.txt,1,0,0,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_irrigation_6_2_1.txt,1,0,0,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_irrigation_6_2_2.txt,1,0,0,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_irrigation_6_2_3.txt,1,0,0,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_irrigation_6_4_1.txt,1,0,0,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_irrigation_6_4_2.txt,1,0,0,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_LightColor_0_1_1.txt,1,0,0,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_LightColor_0_1_2.txt,1,0,0,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_LightColor_0_1_3.txt,1,0,0,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_LightColor_1_0_1.txt,1,0,1,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_LightColor_1_0_2.txt,1,0,1,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_LightColor_1_0_3.txt,1,0,1,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_LightingScene_0_1_1.txt,1,0,0,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_LightingScene_0_1_10.txt,1,0,0,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_LightingScene_0_1_11.txt,1,0,0,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_LightingScene_0_1_12.txt,1,0,0,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_LightingScene_0_1_13.txt,1,0,0,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_LightingScene_0_1_14.txt,1,0,0,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_LightingScene_0_1_15.txt,1,0,0,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_LightingScene_0_1_16.txt,1,0,0,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_LightingScene_0_1_17.txt,1,0,0,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_LightingScene_0_1_18.txt,1,0,0,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_LightingScene_0_1_19.txt,1,0,1,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_LightingScene_0_1_2.txt,1,0,0,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_LightingScene_0_1_20.txt,1,0,1,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_LightingScene_0_1_21.txt,1,0,1,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_LightingScene_0_1_22.txt,1,0,1,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_LightingScene_0_1_23.txt,1,0,1,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_LightingScene_0_1_24.txt,1,0,0,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_LightingScene_0_1_3.txt,1,0,0,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_LightingScene_0_1_4.txt,1,0,0,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_LightingScene_0_1_5.txt,1,0,0,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_LightingScene_0_1_6.txt,1,0,0,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_LightingScene_0_1_7.txt,1,0,0,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_LightingScene_0_1_8.txt,1,0,0,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_LightingScene_0_1_9.txt,1,0,0,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_LightingScene_0_2_1.txt,1,0,0,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_LightingScene_0_2_10.txt,1,0,0,0,0,0,1
